iata,city,state,lat,lon
AAA,Anaa,PF,-17.3526,-145.509995
AAB,Tanbar,AU,-26.69639,141.048718
AAC,El Arish,EG,31.078565,33.836791
AAD,Adado,SO,6.095802,46.6375
AAE,Annaba,DZ,36.826781,7.81334
AAF,Apalachicola,FL,29.727501,-85.027496
AAH,Aachen,DE,50.823055,6.186389
AAI,Arraias,BR,-13.025154,-46.884107
AAJ,Awaradam,SR,3.898681,-55.577907
AAK,Buariki,KI,0.185278,173.636993
AAL,Aalborg,DK,57.094763,9.84993
AAM,Malamala,ZA,-24.816866,31.544085
AAN,Al Ain,AE,24.261699676513672,55.60919952392578
AAO,Anaco,VE,9.430225,-64.470726
AAP,Samarinda,ID,-0.374478,117.250128
AAQ,Krasnyi Kurgan,RU,45.002102,37.347301
AAR,Aarhus,DK,56.303331,10.618286
AAS,Apalapsili,ID,-3.882495,139.310932
AAT,Altay,CN,47.749886,88.085808
AAU,Asau,WS,-13.505132,-172.627888
AAV,Surallah,PH,6.367903,124.752431
AAX,Araxá,BR,-19.5632,-46.9604
AAY,Al Ghaydah,YE,16.193341,52.174186
AAZ,Quezaltenango,GT,14.8656,-91.501999
ABA,Abakan,RU,53.740002,91.385002
ABB,Asaba,NG,6.204167,6.665278
ABC,Albacete,ES,38.948502,-1.86352
ABD,Abadan,IR,30.367887,48.230075
ABE,Allentown,PA,40.651773,-75.442797
ABF,Abaiang,KI,1.79861,173.041
ABG,Abingdon Downs,AU,-17.608814,143.183531
ABH,Alpha,AU,-23.652849,146.582668
ABI,Abilene,TX,32.41130066,-99.68190002
ABJ,Abidjan,CI,5.26139,-3.92629
ABK,Kebri Dahar,ET,6.732577,44.241339
ABL,Ambler,AK,67.105529,-157.855339
ABM,Bamaga,AU,-10.946194,142.455081
ABN,Albina,SR,5.51272,-54.050098
ABO,Aboisso,CI,5.461944,-3.234722
ABP,Atkamba Mission,PG,-6.06462,141.095173
ABQ,Albuquerque,NM,35.039976,-106.608925
ABR,Aberdeen,SD,45.449100494384766,-98.42179871
ABS,Abu Simbel,EG,22.367657,31.609962
ABT,Al-Baha,SA,20.298506,41.636153
ABU,Atambua,ID,-9.074841,124.903285
ABV,Abuja,NG,9.00679,7.26317
ABX,East Albury,AU,-36.066758,146.959148
ABY,Albany,GA,31.532946,-84.196215
ABZ,Aberdeen,GB,57.2019,-2.19778
ACA,Acapulco,MX,16.757126,-99.753113
ACB,Bellaire,MI,44.988602,-85.198402
ACC,Accra,GH,5.605189800262451,-0.166786
ACD,Acandí,CO,8.497847,-77.274106
ACE,San Bartolomé,ES,28.945499,-13.6052
ACF,Aral,CN,40.434748,81.26206
ACH,St. Gallen,CH,47.485001,9.56077
ACI,Saint Anne,GG,49.706104,-2.21472
ACJ,Anuradhapura,LK,8.301542,80.42848
ACK,Nantucket,MA,41.25310135,-70.06020355
ACM,Arica,CO,-2.143713,-71.75935
ACN,Ciudad Acuña,MX,29.333662,-101.100555
ACO,Cóbano,CR,9.693365,-85.091216
ACP,Maragheh,IR,37.34799957275391,46.12789916992188
ACR,Araracuara,CO,-0.600854,-72.398011
ACS,Achinsk,RU,56.269185,90.57511
ACT,Waco,TX,31.611299514770508,-97.23049927
ACU,Mamitupu,PA,9.188481,-77.994153
ACV,Arcata/Eureka,CA,40.978101,-124.109
ACX,Xingyi,CN,25.083423,104.960804
ACY,Atlantic City,NJ,39.45759963989258,-74.57720184
ACZ,Zabol,IR,31.098301,61.5439
ADA,Seyhan,TR,36.982201,35.280399
ADB,Gaziemir,TR,38.2924,27.157
ADC,Andekombe,PG,-7.137222222,145.7447222
ADD,Addis Ababa,ET,8.97789,38.799301
ADE,Aden,YE,12.8295,45.028801
ADF,Adıyaman,TR,37.7314,38.468899
ADG,Adrian,MI,41.866205,-84.077983
ADH,Aldan,RU,58.60279846191406,125.40899658203124
ADI,Arandis,NAN,-22.461875,14.979322
ADJ,Amman,JO,31.9727,35.9916
ADK,Adak,AK,51.883564,-176.642783
ADL,Adelaide,AU,-34.947512,138.533393
ADM,Ardmore,OK,34.30301,-97.0196342
ADO,Andamooka,AU,-30.438299,137.136993
ADP,Ampara,LK,7.336745,81.623869
ADQ,Kodiak,AK,57.75,-152.4940033
ADR,Andrews,SC,33.4516983,-79.52619934
ADS,Dallas,TX,32.96860123,-96.83640289
ADT,Ada,OK,34.805214,-96.671988
ADU,Ardabil,IR,38.32569885,48.42440033
ADV,El Daein,SD,11.4023,26.1186
ADW,Camp Springs,MD,38.810799,-76.866997
ADX,"Leuchars, Fife",GB,56.37398,-2.868862
ADY,Alldays,ZA,-22.679001,29.0555
ADZ,San Andrés,CO,12.5836,-81.7112
AEA,Abemama,KI,0.490759,173.830287
AEB,Baise (Tianyang),CN,23.7206,106.959999
AEE,Adar,SS,10.053611,32.959444
AEG,Padang Sidempuan,ID,1.4001,99.430496
AEH,Abeche,TD,13.847,20.844299
AEK,Aseki,PG,-7.350805,146.193994
